USER_ID,YOB,Gender,Income,HouseholdStatus,EducationLevel,Party,Q124742,Q124122,Q123464,Q123621,Q122769,Q122770,Q122771,Q122120,Q121699,Q121700,Q120978,Q121011,Q120379,Q120650,Q120472,Q120194,Q120012,Q120014,Q119334,Q119851,Q119650,Q118892,Q118117,Q118232,Q118233,Q118237,Q117186,Q117193,Q116797,Q116881,Q116953,Q116601,Q116441,Q116448,Q116197,Q115602,Q115777,Q115610,Q115611,Q115899,Q115390,Q114961,Q114748,Q115195,Q114517,Q114386,Q113992,Q114152,Q113583,Q113584,Q113181,Q112478,Q112512,Q112270,Q111848,Q111580,Q111220,Q110740,Q109367,Q108950,Q109244,Q108855,Q108617,Q108856,Q108754,Q108342,Q108343,Q107869,Q107491,Q106993,Q106997,Q106272,Q106388,Q106389,Q106042,Q105840,Q105655,Q104996,Q103293,Q102906,Q102674,Q102687,Q102289,Q102089,Q101162,Q101163,Q101596,Q100689,Q100680,Q100562,Q99982,Q100010,Q99716,Q99581,Q99480,Q98869,Q98578,Q98059,Q98078,Q98197,Q96024
908,1995,Male,"under $25,000",Single (no kids),Current K-12,Democrat,Yes,Yes,No,No,No,No,Private,No,No,No,No,No,Yes,Yes,Science,Try first,Yes,Yes,No,No,Giving,No,Yes,Pragmatist,No,No,Hot headed,Standard hours,Yes,Happy,No,Yes,No,No,P.M.,Yes,Start,Yes,No,Me,Yes,No,Yes,Yes,No,Mysterious,No,Yes,Talk,Technology,Yes,No,Yes,No,Yes,Demanding,No,Mac,No,Cautious,Yes,Yes!,No,Space,Yes,In-person,No,No,Yes,No,Yay people!,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Own,Optimist,Dad,No,No,No,Yes,Check!,No,No,No,No,No,Yes,Only-child,Yes,Yes,No
909,1994,Female,"under $25,000",Single (no kids),Current Undergraduate,Democrat,,Yes,,,Yes,No,Public,No,Yes,No,,,,,,,,,,,,,,,,,Hot headed,Odd hours,Yes,Right,Yes,Yes,Yes,No,P.M.,Yes,End,Yes,No,Circumstances,Yes,,,,,,,,,,,Yes,No,No,Yes,Supportive,No,Mac,Yes,Cautious,Yes,Yes!,No,Space,No,In-person,No,No,Yes,No,Grrr people,,,,,,,,Yes,,,,,,Optimist,Mom,Yes,Yes,Yes,,Nope,,Yes,No,Yes,,,Yes,Yes,No,No
910,1980,Female,"$50,000 - $74,999",Married (w/kids),Associate's Degree,Democrat,No,Yes,No,No,No,Yes,Public,Yes,Yes,No,Yes,No,No,Yes,Art,Study first,Yes,No,No,No,Giving,Yes,No,Idealist,Yes,Yes,Cool headed,Standard hours,Yes,Happy,Yes,Yes,Yes,No,P.M.,Yes,Start,Yes,Yes,Circumstances,No,No,No,No,Yes,TMI,No,No,Tunes,Technology,No,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,Yes,Yes,Grrr people,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Rent,Optimist,Dad,Yes,Yes,Yes,Yes,Check!,Yes,,,Yes,Yes,No,Yes,Yes,No,Yes
911,1989,Male,"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Democrat,No,Yes,No,Yes,No,No,Private,No,Yes,No,No,No,Yes,Yes,Science,Try first,No,No,No,No,Receiving,Yes,No,Pragmatist,No,No,Cool headed,Standard hours,No,Happy,Yes,Yes,No,Yes,P.M.,No,Start,Yes,No,Me,No,No,No,Yes,No,Mysterious,No,No,Tunes,Technology,No,No,Yes,No,No,Supportive,No,PC,No,Cautious,No,Umm...,No,Space,Yes,Online,No,No,Yes,Yes,Grrr people,No,No,No,No,No,Yes,No,No,No,No,No,No,Rent,Pessimist,Dad,No,Yes,No,No,Nope,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No
913,1994,Female,"under $25,000",Single (no kids),Current Undergraduate,Democrat,No,Yes,No,No,No,Yes,Public,No,Yes,Yes,Yes,Yes,Yes,Yes,Science,Study first,No,Yes,No,No,Giving,Yes,No,Idealist,No,Yes,Cool headed,Standard hours,No,Happy,Yes,Yes,No,No,P.M.,Yes,Start,Yes,No,Circumstances,Yes,Yes,Yes,No,No,TMI,No,No,Tunes,People,No,Yes,No,Yes,Yes,Supportive,No,PC,Yes,Risk-friendly,No,Umm...,Yes,Space,Yes,In-person,Yes,Yes,Yes,Yes,Yay people!,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Rent,Optimist,Mom,No,Yes,,Yes,Nope,Yes,No,No,Yes,Yes,No,Only-child,No,Yes,Yes
915,1993,Female,,Single (no kids),Current Undergraduate,Democrat,,,Yes,No,No,No,Public,No,Yes,Yes,,,,,,,Yes,,,,,Yes,Yes,Idealist,,No,,,,,,,,Yes,P.M.,No,Start,Yes,No,Me,No,Yes,Yes,,No,TMI,Yes,No,Tunes,People,No,,,,,,,,Yes,,Yes,Umm...,No,Space,Yes,Online,,No,Yes,Yes,Grrr people,,,,,,,,Yes,No,No,No,,Rent,Pessimist,,No,No,,,,,,,Yes,No,,,,,No
916,1992,Male,"$50,000 - $74,999",Single (no kids),Current Undergraduate,Democrat,,Yes,No,No,No,No,Private,No,Yes,Yes,No,Yes,Yes,Yes,Art,Try first,Yes,Yes,No,No,Receiving,Yes,No,Pragmatist,No,Yes,Hot headed,Standard hours,No,Happy,No,No,No,Yes,P.M.,Yes,Start,Yes,No,Circumstances,Yes,Yes,Yes,Yes,No,Mysterious,Yes,No,Tunes,Technology,No,Yes,Yes,No,No,Supportive,No,PC,Yes,Risk-friendly,No,Umm...,No,Space,No,Online,Yes,No,Yes,Yes,Grrr people,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Own,Pessimist,Mom,No,,,Yes,Nope,Yes,No,,Yes,Yes,No,Yes,Yes,No,Yes
917,1981,Female,"$25,001 - $50,000",Married (w/kids),,Democrat,No,Yes,No,Yes,Yes,Yes,Public,Yes,No,No,Yes,Yes,No,No,Art,Try first,,No,No,No,Giving,No,No,,No,Yes,Hot headed,Odd hours,No,Right,Yes,No,No,No,A.M.,Yes,End,Yes,No,Me,No,Yes,No,Yes,Yes,TMI,No,No,Talk,People,No,Yes,Yes,No,Yes,Supportive,No,PC,Yes,Cautious,,,No,,No,Online,No,Yes,Yes,Yes,Yay people!,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Own,Pessimist,Mom,No,Yes,Yes,Yes,Check!,Yes,No,No,Yes,No,No,Yes,Yes,No,No
919,1979,Male,"$25,001 - $50,000",Single (no kids),High School Diploma,Democrat,,Yes,No,Yes,No,No,Private,Yes,Yes,No,Yes,No,No,Yes,Science,Study first,Yes,No,No,Yes,Receiving,No,No,Pragmatist,Yes,Yes,Cool headed,Odd hours,Yes,Right,Yes,Yes,Yes,Yes,P.M.,Yes,Start,Yes,No,Me,Yes,Yes,No,No,No,Mysterious,Yes,No,Talk,Technology,No,Yes,Yes,No,Yes,Demanding,Yes,Mac,Yes,Cautious,No,Yes!,No,Space,Yes,Online,Yes,No,Yes,No,Grrr people,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Rent,Pessimist,Mom,No,Yes,Yes,Yes,Check!,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes
920,1987,Female,"$75,000 - $100,000",Single (no kids),Bachelor's Degree,Democrat,,No,No,Yes,No,Yes,Public,No,Yes,No,No,Yes,No,Yes,Science,Study first,Yes,No,No,No,Receiving,No,No,Pragmatist,No,No,Hot headed,Standard hours,No,Right,Yes,Yes,No,Yes,P.M.,Yes,Start,Yes,No,Me,Yes,Yes,No,No,No,Mysterious,No,No,Tunes,Technology,No,Yes,Yes,Yes,Yes,Supportive,No,PC,Yes,Cautious,No,Umm...,No,Space,No,Online,No,Yes,Yes,Yes,Grrr people,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Rent,Pessimist,Dad,No,No,Yes,Yes,Check!,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes
921,1977,Male,"$25,001 - $50,000",Single (no kids),Master's Degree,Democrat,No,No,No,No,Yes,Yes,Public,Yes,Yes,Yes,Yes,No,Yes,Yes,Science,Study first,Yes,Yes,No,Yes,Giving,Yes,No,Pragmatist,No,No,Cool headed,Odd hours,Yes,Happy,No,Yes,Yes,Yes,P.M.,Yes,Start,No,No,Me,Yes,No,No,Yes,No,TMI,No,No,Tunes,People,Yes,Yes,Yes,Yes,Yes,Supportive,No,Mac,No,Risk-friendly,Yes,Umm...,No,Space,Yes,In-person,Yes,No,Yes,Yes,Yay people!,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Own,Optimist,Dad,Yes,No,Yes,Yes,Nope,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
922,1967,Male,"$50,000 - $74,999",Married (w/kids),Bachelor's Degree,Democrat,No,,No,Yes,,,Public,No,,,No,,,Yes,,,,,,,,,No,,,,,,No,,,Yes,Yes,,,Yes,,,Yes,Circumstances,,,,,No,,,,Talk,,,,,,Yes,,,Mac,,,,Yes!,No,Space,No,,No,,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,
923,1987,Male,"$50,000 - $74,999",Married (w/kids),Bachelor's Degree,Republican,,,,,Yes,No,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Cautious,No,Yes!,No,Space,Yes,Online,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,1994,Male,"under $25,000",Single (no kids),Current Undergraduate,Democrat,Yes,Yes,Yes,No,No,No,Public,Yes,Yes,No,Yes,Yes,Yes,Yes,Art,Try first,No,Yes,No,No,Giving,Yes,No,Pragmatist,No,Yes,Cool headed,Standard hours,No,Happy,No,Yes,No,Yes,P.M.,Yes,End,No,No,Circumstances,Yes,Yes,No,No,No,Mysterious,Yes,No,Tunes,People,No,Yes,Yes,No,Yes,Demanding,No,Mac,No,Cautious,No,Umm...,No,Space,Yes,In-person,No,Yes,No,Yes,Yay people!,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Own,Pessimist,Dad,No,No,No,No,Nope,Yes,No,No,Yes,No,Yes,Yes,No,,Yes
926,1954,Female,"over $150,000",Married (w/kids),High School Diploma,Democrat,,,,,Yes,Yes,Private,No,Yes,No,No,No,No,Yes,Science,Try first,Yes,Yes,No,,Giving,Yes,No,Pragmatist,No,No,Hot headed,,No,Happy,Yes,Yes,Yes,Yes,P.M.,No,End,Yes,No,Me,No,No,No,No,Yes,Mysterious,No,Yes,Tunes,Technology,Yes,No,Yes,Yes,No,Demanding,Yes,PC,Yes,Cautious,Yes,Yes!,No,Space,No,Online,No,Yes,No,Yes,Yay people!,Yes,,,Yes,Yes,No,No,Yes,No,Yes,No,No,Own,Optimist,Mom,No,Yes,No,No,Check!,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
927,1996,Female,"under $25,000",Single (no kids),Current K-12,Republican,Yes,Yes,,No,Yes,Yes,Private,Yes,Yes,No,No,Yes,,Yes,,,,,,No,Receiving,Yes,Yes,,,,Hot headed,Standard hours,No,,Yes,,,,P.M.,Yes,,,No,,Yes,,,,,TMI,,,,,No,,,No,No,,,,Yes,,Yes,Yes!,No,Space,No,,,,,Yes,Grrr people,,No,,No,,Yes,No,Yes,Yes,No,Yes,,,,Dad,No,No,Yes,,Check!,,No,No,Yes,Yes,Yes,Yes,No,No,Yes
928,1998,Female,"$50,000 - $74,999",Single (no kids),Current K-12,Democrat,No,Yes,No,,,,,,No,Yes,Yes,Yes,Yes,Yes,Art,Study first,Yes,No,,Yes,Receiving,No,Yes,Idealist,No,No,Cool headed,Odd hours,No,,,No,No,Yes,P.M.,Yes,,Yes,No,Circumstances,Yes,No,No,Yes,No,Mysterious,No,No,,,No,,Yes,No,No,Supportive,No,PC,No,Cautious,,Umm...,No,Space,No,Online,No,No,Yes,No,Grrr people,,,,No,,No,,,Yes,No,No,No,Rent,Optimist,Mom,No,Yes,Yes,Yes,Nope,No,No,,,No,No,Yes,Yes,No,No
929,1988,Male,"$25,001 - $50,000",Single (no kids),High School Diploma,Republican,,,,,,,,,,,,,No,,,Study first,No,No,Yes,No,Giving,No,Yes,Idealist,No,No,Hot headed,Odd hours,No,Happy,Yes,Yes,Yes,Yes,P.M.,Yes,Start,Yes,Yes,Me,Yes,No,Yes,No,No,Mysterious,No,No,Tunes,Technology,No,Yes,Yes,No,No,Supportive,No,Mac,Yes,Cautious,No,Yes!,No,Space,No,In-person,No,No,Yes,Yes,Grrr people,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Rent,Optimist,Mom,Yes,Yes,No,Yes,Nope,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
930,1972,Male,"$25,001 - $50,000",Domestic Partners (no kids),Bachelor's Degree,Democrat,No,Yes,No,No,Yes,No,Private,No,Yes,No,Yes,Yes,Yes,Yes,Art,Study first,No,No,Yes,No,Giving,Yes,No,Idealist,Yes,Yes,Cool headed,Odd hours,No,Right,Yes,Yes,Yes,Yes,P.M.,No,End,Yes,No,Me,Yes,Yes,No,Yes,No,TMI,Yes,Yes,Tunes,Technology,Yes,No,No,Yes,Yes,Demanding,No,Mac,Yes,Risk-friendly,Yes,Yes!,Yes,Socialize,Yes,Online,Yes,No,Yes,Yes,Yay people!,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Rent,Optimist,Mom,Yes,Yes,Yes,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No
931,1965,Female,,Married (w/kids),,Democrat,,,,,No,No,Public,,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,No,Supportive,No,Mac,No,Cautious,,,,,,,,,,,,,,,,,,,,No,No,Yes,,Own,,,Yes,No,,,Nope,Yes,,No,No,,,,,,
933,1989,Male,"under $25,000",Single (no kids),Bachelor's Degree,Republican,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Science,Try first,No,Yes,Yes,No,Giving,No,No,Pragmatist,No,No,,,,,,Yes,No,No,P.M.,Yes,Start,Yes,No,Me,No,Yes,Yes,No,No,TMI,No,No,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yay people!,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Rent,Optimist,Dad,Yes,No,Yes,Yes,Nope,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes
934,1995,Male,"$100,001 - $150,000",Single (no kids),Current Undergraduate,Republican,,,,,,,,,,,,,,,,,,,Yes,,Giving,,Yes,Pragmatist,No,No,Cool headed,Odd hours,No,Happy,No,Yes,No,Yes,P.M.,No,End,Yes,No,Me,Yes,No,Yes,Yes,No,Mysterious,No,No,Tunes,Technology,Yes,Yes,Yes,No,Yes,Demanding,No,PC,No,Risk-friendly,No,Umm...,No,Socialize,Yes,In-person,No,No,Yes,Yes,Yay people!,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Own,Optimist,Mom,No,Yes,No,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes
935,1991,Female,"over $150,000",Single (no kids),Current Undergraduate,Republican,,,,Yes,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,No,,,,,,,No,,,Yes,No,No,P.M.,Yes,Start,Yes,No,Me,Yes,No,Yes,Yes,No,TMI,No,No,Tunes,People,Yes,,No,,No,Supportive,No,Mac,Yes,Cautious,No,Yes!,Yes,Socialize,No,In-person,Yes,Yes,No,No,Grrr people,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Own,Pessimist,Dad,No,No,Yes,Yes,,,No,No,Yes,Yes,No,Yes,No,No,No
936,1956,Male,"$100,001 - $150,000",Married (w/kids),High School Diploma,Republican,,,No,No,Yes,No,Public,No,No,No,,,No,,Science,Study first,No,No,No,Yes,Receiving,Yes,No,Pragmatist,Yes,No,Cool headed,Standard hours,Yes,Happy,Yes,Yes,No,No,A.M.,Yes,End,Yes,No,Me,No,Yes,Yes,Yes,Yes,Mysterious,Yes,No,Tunes,Technology,No,Yes,Yes,Yes,No,Supportive,No,PC,Yes,Cautious,No,,No,,,Online,No,Yes,Yes,Yes,Yay people!,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Own,Optimist,Dad,No,Yes,Yes,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No
937,1979,Female,"$50,000 - $74,999",Single (no kids),,Democrat,,Yes,No,Yes,No,No,Public,No,Yes,Yes,Yes,No,Yes,Yes,Science,Study first,Yes,Yes,No,No,Receiving,Yes,No,Idealist,Yes,No,,,,,,,,,,,,,,,,Yes,Yes,Yes,No,Mysterious,No,No,Talk,People,No,No,Yes,No,Yes,Demanding,Yes,PC,Yes,Risk-friendly,No,Yes!,No,Socialize,No,In-person,Yes,No,Yes,Yes,Yay people!,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Rent,Optimist,,No,Yes,Yes,Yes,Check!,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
938,1988,Female,"under $25,000",Single (no kids),Current Undergraduate,Democrat,No,No,No,No,Yes,No,Public,No,Yes,No,No,Yes,No,Yes,Art,Study first,Yes,No,Yes,No,Receiving,No,Yes,Idealist,No,Yes,Cool headed,,No,Happy,No,Yes,No,No,A.M.,Yes,Start,Yes,No,Me,Yes,No,No,No,Yes,TMI,No,No,Tunes,Technology,No,Yes,Yes,No,No,Supportive,No,PC,Yes,Cautious,Yes,Umm...,Yes,Space,No,Online,No,No,Yes,No,Grrr people,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Own,Pessimist,Dad,Yes,No,Yes,Yes,Nope,Yes,No,No,No,No,Yes,Yes,Yes,No,No
939,1977,Female,"over $150,000",Single (no kids),Doctoral Degree,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,No,No,Demanding,No,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,1988,Female,"$50,000 - $74,999",Single (no kids),Current Undergraduate,Democrat,,,No,No,No,No,Public,,Yes,,No,,No,Yes,,,Yes,,,No,,No,Yes,,,,,Odd hours,,,,Yes,,,P.M.,Yes,,,No,,,,No,,Yes,TMI,Yes,No,,People,No,,,,,,No,,,Cautious,,,,,No,Online,,,Yes,,Grrr people,No,No,,,,Yes,No,Yes,,,,,,,Mom,No,Yes,Yes,,,,No,No,No,,No,Yes,,No,No
941,1965,Male,"$50,000 - $74,999",Single (no kids),Associate's Degree,Republican,,,,,Yes,Yes,Public,,No,,No,No,,Yes,,Study first,,,,No,Receiving,Yes,Yes,,,,,Odd hours,,,No,,No,No,,,,,Yes,Circumstances,,,,No,,,Yes,No,,,,,Yes,,,,No,PC,,,,,,,No,Online,No,No,Yes,Yes,Grrr people,,No,No,No,,Yes,Yes,,,No,Yes,No,Own,Pessimist,,No,No,No,Yes,,Yes,No,Yes,Yes,,No,,,,Yes
942,1986,Female,"under $25,000",Single (w/kids),Current Undergraduate,Republican,,Yes,No,No,No,No,Public,Yes,Yes,Yes,Yes,No,No,Yes,Science,Study first,Yes,No,Yes,No,Giving,Yes,No,Idealist,No,No,Cool headed,Standard hours,No,Happy,Yes,No,No,Yes,A.M.,Yes,End,Yes,No,Me,Yes,No,Yes,No,No,TMI,Yes,No,Tunes,People,Yes,Yes,No,No,No,Demanding,No,PC,No,Cautious,No,Yes!,Yes,Socialize,No,In-person,Yes,No,Yes,Yes,Yay people!,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Own,Optimist,Dad,No,No,Yes,Yes,Nope,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
943,1975,Male,"$25,001 - $50,000",Married (w/kids),Current Undergraduate,Democrat,No,Yes,No,No,No,No,Private,No,Yes,No,Yes,Yes,Yes,Yes,,Study first,Yes,,Yes,Yes,,Yes,No,,Yes,,,Odd hours,,Right,,Yes,Yes,,P.M.,,,No,Yes,,Yes,No,No,Yes,No,,No,Yes,Tunes,Technology,Yes,,Yes,No,,Demanding,,Mac,Yes,,No,,No,,No,,Yes,No,,,,,,,,No,No,No,No,,Yes,No,,,,Dad,Yes,,,,Nope,Yes,No,No,Yes,Yes,,Yes,,Yes,
944,1982,Female,"under $25,000",Single (no kids),Bachelor's Degree,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,Demanding,Yes,PC,Yes,Cautious,Yes,Umm...,No,,No,Online,Yes,No,Yes,Yes,Grrr people,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Own,Pessimist,,,Yes,Yes,Yes,,,,,,,,,,,
945,1981,Male,"over $150,000",Married (w/kids),Doctoral Degree,Republican,No,Yes,No,Yes,Yes,No,Public,No,Yes,No,Yes,No,No,No,Science,Study first,No,Yes,Yes,No,Giving,Yes,Yes,Idealist,Yes,No,Cool headed,Odd hours,Yes,Happy,Yes,Yes,No,No,P.M.,Yes,End,Yes,Yes,Circumstances,Yes,Yes,No,Yes,Yes,TMI,Yes,No,Tunes,People,Yes,Yes,Yes,Yes,Yes,Supportive,No,PC,Yes,Cautious,No,Umm...,No,Socialize,No,In-person,No,No,Yes,Yes,Grrr people,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Own,Optimist,Mom,Yes,No,Yes,Yes,Check!,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
946,1990,Male,"under $25,000",Single (no kids),Bachelor's Degree,Democrat,,No,No,,No,No,Private,,Yes,No,Yes,Yes,No,Yes,Art,Try first,Yes,,Yes,Yes,,Yes,Yes,,No,,Cool headed,,,,,Yes,No,,,,,,,,Yes,No,Yes,Yes,No,TMI,,,Tunes,Technology,No,No,Yes,Yes,Yes,Supportive,No,,,Cautious,,,No,,Yes,,,,Yes,Yes,,No,No,Yes,,,Yes,,No,No,No,Yes,No,Own,Optimist,,No,No,,Yes,Check!,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes
949,1993,Male,"under $25,000",Single (no kids),High School Diploma,Republican,No,No,No,Yes,,Yes,Public,Yes,Yes,No,Yes,Yes,No,,,,Yes,No,,No,Giving,Yes,No,,,No,Cool headed,Standard hours,No,Right,Yes,Yes,Yes,No,P.M.,Yes,,,No,Me,Yes,No,No,,No,,No,No,Tunes,Technology,,Yes,Yes,No,No,Supportive,Yes,Mac,Yes,,,Yes!,Yes,Space,Yes,In-person,Yes,,Yes,Yes,,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Rent,Pessimist,,No,No,No,Yes,Nope,Yes,No,,Yes,Yes,No,Yes,Yes,,No
950,1988,Male,"$50,000 - $74,999",Single (no kids),Current Undergraduate,Democrat,,,,,,,,,Yes,No,No,,,,Science,,No,No,,No,Giving,,,,,,,,,,,Yes,No,,A.M.,No,,,Yes,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,No,,,,,Yes
952,1967,Female,"$100,001 - $150,000",Single (w/kids),Associate's Degree,Democrat,No,Yes,No,Yes,No,Yes,Public,No,Yes,No,No,Yes,No,Yes,Art,Study first,No,Yes,No,Yes,Giving,Yes,No,Pragmatist,Yes,No,Cool headed,Odd hours,Yes,Happy,No,No,Yes,No,P.M.,Yes,End,Yes,No,Circumstances,Yes,Yes,No,No,No,TMI,Yes,Yes,Tunes,Technology,No,Yes,Yes,No,Yes,Demanding,Yes,PC,Yes,Cautious,Yes,Umm...,Yes,Space,No,Online,Yes,No,Yes,Yes,Grrr people,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Rent,Pessimist,Dad,No,Yes,No,Yes,Nope,No,No,No,Yes,No,No,Yes,No,No,No
953,1988,Male,"$25,001 - $50,000",Married (no kids),,Democrat,No,Yes,No,Yes,Yes,No,Public,No,Yes,No,No,Yes,No,No,Science,Study first,No,No,No,No,Receiving,Yes,Yes,Pragmatist,Yes,Yes,Cool headed,Odd hours,No,Happy,No,No,No,No,P.M.,No,End,Yes,Yes,Circumstances,No,Yes,Yes,Yes,Yes,TMI,Yes,No,Talk,Technology,Yes,No,Yes,No,No,Demanding,No,Mac,Yes,Cautious,No,Umm...,Yes,Space,No,In-person,Yes,No,Yes,Yes,Grrr people,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Rent,Pessimist,Mom,Yes,Yes,Yes,No,Nope,Yes,No,No,Yes,Yes,No,Only-child,No,No,Yes
954,1978,Female,"$25,001 - $50,000",Single (no kids),Bachelor's Degree,Democrat,,No,No,No,No,No,Public,No,Yes,No,Yes,Yes,Yes,Yes,Science,Study first,No,Yes,Yes,No,Giving,No,No,Pragmatist,No,Yes,Hot headed,Standard hours,No,Happy,No,Yes,Yes,No,P.M.,No,End,Yes,No,Circumstances,Yes,Yes,No,Yes,No,Mysterious,No,No,Tunes,Technology,No,Yes,Yes,No,Yes,Supportive,Yes,Mac,Yes,Risk-friendly,Yes,Umm...,Yes,Space,No,In-person,Yes,No,Yes,No,Grrr people,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Rent,Pessimist,Mom,No,Yes,Yes,Yes,Check!,No,No,No,Yes,No,No,Yes,No,No,Yes
955,1986,Male,"$25,001 - $50,000",Single (no kids),Bachelor's Degree,Democrat,No,No,No,Yes,Yes,No,Public,No,Yes,No,Yes,Yes,No,Yes,Art,Study first,Yes,No,No,Yes,Giving,No,No,,No,Yes,Cool headed,Odd hours,No,Right,No,Yes,Yes,Yes,P.M.,Yes,Start,Yes,Yes,Circumstances,Yes,Yes,No,No,No,Mysterious,No,No,Tunes,Technology,No,Yes,Yes,No,Yes,Demanding,No,PC,Yes,Cautious,No,,No,,,Online,Yes,No,Yes,Yes,Grrr people,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Rent,Optimist,Dad,Yes,Yes,No,No,Nope,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
956,1967,Female,"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Republican,,,No,Yes,Yes,Yes,Public,No,Yes,No,Yes,Yes,No,Yes,Art,Study first,Yes,No,Yes,Yes,Giving,Yes,No,Idealist,Yes,Yes,Hot headed,Odd hours,Yes,Happy,Yes,Yes,No,Yes,P.M.,Yes,End,Yes,Yes,Me,No,No,Yes,Yes,,,No,Yes,Talk,People,No,,,No,No,Supportive,No,PC,Yes,Cautious,No,Yes!,No,Space,No,Online,No,Yes,Yes,Yes,Grrr people,Yes,Yes,No,Yes,Yes,,Yes,No,No,,Yes,No,Own,Pessimist,Mom,No,Yes,Yes,Yes,Nope,No,Yes,No,Yes,Yes,Yes,Only-child,Yes,No,Yes
957,1994,Male,,Single (no kids),,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,
